,property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,,,,,,
,1 BHK Flat in Naigaon East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-navkar-city-naigaon-east-mira-road-and-beyond-515-sq-ft-to-615-sq-ft-npspid-Y70447244,Navkar City,,"₹ 6,698/sq.ft.",,,,,,"Naigaon East, Mira Road And Beyond, Mumbai",,,,"['Naigoan Railway Staation', 'Juchandra Railway Station', 'Borivali via WEH']","Live in a world of comfort and style at Navkar City, located in Naigaon East, Mira Road And Beyond. Book your 1 BHK apartment now. Sprawling across a super built-up area of 515.0 sq. ft. - 615.0 sq. ft., these are a new launch apartments.These are available at a price range of Rs. 34.49 Lac to Rs. 41.19 Lac. All the 24 towers have with aesthetically crafted interiors as well as exteriors. The project has the latest fire-fighting systems, an exclusive Property Staff, Multipurpose Hall, Car Parking, Gymnasium, Laundry, etc.",,,"['Lifestyle3.8 out of 5', 'Connectivity3.6 out of 5', 'Safety3.8 out of 5', 'Environment4.2 out of 5']",Y70447244,,,,,,
,4 BHK Flat in Cuffe Parade,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-cuffe-parade-south-mumbai-3010-sq-ft-r15-spid-J48130919,Maker Tower A & B,28 Crore,"₹ 102,991/sq.ft.",Super Built up area 3010(279.64 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2650 sq.ft. (246.19 sq.m.),4 Bedrooms,5 Bathrooms,3+ Balconies,"Pooja Room,Study Room,Servant Room,Others","A And B Tower, Cuffe Parade, South Mumbai, Mumbai",15th   of 25 Floors,North-East,10+ Year Old,"['Chabad House Mumbai', 'Mahadev Mandir', 'Central bank of india ATM', 'State bank of india ATM', 'Sbi ATM', 'Indu Clinic', 'Kataria Eye Clinic', 'Malpani Infertility Clinic', 'Abhishek Day Care Institute and Medical Research Centre', 'Vinod Sharma Memorial Medical Centre', 'Spectrum Health Care', 'Dr. Amins Clinic', 'Brahma kumaris', 'Y B Chavan Centre', 'Pharmacy', 'Gen medical 24hrs', 'Darbar', 'State bank of patalai', 'Axis bank', 'Kotak bank', 'Western union bank', ""Moshe's"", 'Madras Caffee', 'Kailash Parbat', 'Shubh Sagar', ""Domino's Pizza"", 'New Martin Hotel', 'Food plaza', 'Cafe coffee day', 'Cafe basilico', 'Cloud 9', 'Mezban', 'Ideal restaurant', 'Santoor', 'Cafe Coffee Day', 'Kamats', 'The Village', 'Marina', 'Status', 'Kamat Restaurant', 'Food Inn', 'Olympia Coffee House', 'Papaya bistro', 'Starbucks', 'Indigo', 'TreeHouse', 'B.D. Somani International School', 'B.D. Somani Institute of Art and Fashion Technology', 'G.D. Somani Memorial School ICSE', 'Mira Pre-School']","This is a 4 bhk with servant room and bathroom in maker towers a & b. This is one of the best bldgs in south mumbai. The flat is fully sea facing with all bedrooms having an attached bathroom. Sea facing view from the hall and all the bedrooms. Brilliant sea breeze with a breathtaking ventilation and ample natural light. 1 closed garage worth rs. 1 crore and 4 open car parkings come with the flat. 24x7 security with cctv cameras. Vaastu compliant. The bldg premises has a 5 star health club with steam and yoga room, 3 gardens, tennis courts, football turf, 2 party halls, walking and jogging garden, children's play area etc. Please call for an inspection. I reside in the same bldg, hence can guarantee the above mentioned facts and details.","['2 Bed', '4 Wardrobe', '8 Fan', '1 Exhaust Fan', '5 Geyser', '10 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Park', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Fitness Centre / GYM']","['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",J48130919,,,,,,
,4 BHK Flat in JVLR,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-oberoi-prisma-j-v-l-r-mumbai-andheri-dahisar-2800-sq-ft-spid-C68370598,Oberoi Prisma,7.75 Crore,"₹ 39,743/sq.ft.",Super Built up area 2800(260.13 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4 Bedrooms,4 Bathrooms,1 Balcony,,"JVLR, Mumbai Andheri-Dahisar, Mumbai",21st   of 32 Floors,North,5 to 10 Year Old,"['Hub Mall Parking', 'Kalavati Aai temple', 'Salpra Clinic', 'Ramuna Clinic', 'Usha Healthcare Clinic', 'Mangal Dental Clinic', 'Shree Clinic', 'Dr. Alpa Jain Clinic', 'Dr. Pragati Ghosalkar Clinic', 'Kokan Hospital', 'DNA Hospital', 'Revati Clinic', 'Mrudupal Clinic', 'Dr. Rajiv R. Bhanse Clinic', 'Dr Phadkes Maternity and Surgical Hospital', 'Shifa Clinic', 'matoshri umabai RANE hospital', 'Balthakra Sahara Jogeshwari Hospital', 'Dr. Suresh Na. Purandare Clinic', 'Nirmal Clinic', 'BMC arogya Kendra', 'Uma Maternity Nursing Home', 'Matrichhaya Clinic', 'Shukh Aayu Clinic', 'Shalyak Hospital', 'Diabetes and Wellness Clinic', 'Sunita Hospital Mumbai', 'Piyush Hospital', 'Indu Maternity and Surgical Nursing Home', 'Shakuntala Memorial Surgical Childerns and General Hospital', 'Shrishti Clinic and Microsurgery Centre', 'Dr Kulkarni Hospital', ""Dr. Kamat's Hospital"", 'Dr. Shindes Childrens Hospital and Nicu', ""Dr.Sakhalkar's Maternity and Nursing Home"", 'Hajari Hospital', 'Dr Shah Hospital', 'Pooja Nursing Home Mumbai', 'Upadhya Clinic', 'Parulekar Maternity and Surgical Nursing Home - Mumbai', 'Majas Depot', 'Movie TIme Hub', 'HOTEL NITYANAND', 'coffee day', ""McDonald's"", 'Balaji Rest.', 'Institute of Indian Culture', 'Jogeshwari railway station', 'Jogeshwari railway station']","This is your chance to own a 2 bhk residential apartment in oberoi prisma, jvlr, mumbai andheri-Dahisar, mumbai where luxury comes with affordability.
Basic details:
You will love this bright and spacious 4 bedrooms apartment with 4 bathrooms, modular kitchen, spacious hall and 1 balcony. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 2800sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.","['4 Wardrobe', '1 Water Purifier', '1 Exhaust Fan', '1 Stove', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Lifestyle3.8 out of 5', 'Connectivity3.8 out of 5', 'Safety4.1 out of 5', 'Environment3.7 out of 5']",C68370598,,,,,,
,3 BHK Flat in Ghatkopar East,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gm-krushal-towers-ghatkopar-east-central-mumbai-suburbs-1200-sq-ft-spid-M68608670,GM Krushal Towers,5.25 Crore,"₹ 43,750/sq.ft.",Carpet area: 1200 (111.48 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,"Pooja Room,Store Room","Ghatkopar East, Central Mumbai suburbs, Mumbai",4th   of 15 Floors,,10+ Year Old,"['Noori Masjid', 'Gulshan Baug', 'dr. baba saheb ambedkar udhhan', 'Nurani Masjid', 'Masjid', 'Shrimad rajchandra gyan mandir', 'Buddha vihar', 'State bamk atm chheda nagar', 'Hdfc bank ATM', 'Kankal Hospital Child Specialist', 'Mumbai Heart Clinic Associate of Rane Hospital Pvt Ltd', 'Dr Chauhans Sanjeevani Hospital', 'Clinic', 'Tara Neo Surg Hospital', 'Mandakini Nuclear Imaging Centre', 'Ameeta patil Nursing Home', 'Shashikant Hospital', 'Dr Mehta Nursing Home', 'DR KHANPTHAN', 'Ashirwad Heart Hospital', 'Ashirvaad Heart Hospital', 'Icon Hospital and Research Centre', 'Shrimati Diwaliben Mohanlal Mehta Maa Sarvasadharan Rugnalay Hospital', 'Disha Polyclinic and Nursing Home', 'Varsha Gandre Parekh Maternity and Surgical Hospital', 'Kamran Nursing Home', ""Patankar's Hand and Limb Reconstruction Clinic"", 'Dr. kiran bele', 'Rajawadi Hospital', 'Noble Medicals', 'Anu Medicals', 'Balaji Medicals', 'National Highway Trucking Center', 'Shahakar Plaza', 'NATRAJ CINEMA', 'Indian overseas bank', 'Indian bank', 'Sadguru', 'Mahatma nagar', 'Deepshika', 'Ccd', 'SADGURU RESTAURANT', 'Via Bombay', 'puspa vihar hotel', 'Geeta Bhawan', 'K. J. Somaiya College Of Arts And Commerce', 'Modern English School', 'Lokmanya tilak terminus railway station', 'Chembur railway station', 'Anukool circulating library']","Near upcoming garodia nagar metro station, children's play area, walking track on podium","['1 Bed', '3 Wardrobe', '7 Fan', '1 Exhaust Fan', '1 Geyser', '20 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4 out of 5']",M68608670,,,,,,
,2 BHK Flat in Versova,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-everest-apartment-versova-mumbai-andheri-dahisar-842-sq-ft-spid-S68718036,Everest Apartment,3.6 Crore,"₹ 51,136/sq.ft.",Super Built up area 842(78.22 sq.m.)Carpet area: 704 sq.ft. (65.4 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"Ninth Floor, Versova, Mumbai Andheri-Dahisar, Mumbai",9th   of 13 Floors,West,10+ Year Old,"['D-Mart', 'Aram Nagar Amba Mata Mandir', 'Versova Sachkhand Darbar', 'Someshwar Temple', 'Lalsahi Dham Mandir', 'Shiv Mandir', 'Hdfc bank ATM', 'Indusind bank ATM', 'Yes bank ATM', 'AL Kaleskar Hospital', 'Saket Maternity and Nursing Home', 'Mamta Maternity and Nursing Home', 'Mahima Hospital and Polyclinic', 'Lifeline Chemist', 'Lifeline', 'Mohini Medical Store', 'Rohan Chemist', 'Ambika Medicals', '7 Bungalows Bus Depot', 'Icici bank', 'Dcb bank', 'Bank of maharashtra', 'kreating charakters', 'Scrumptuous', ""Domino's Pizza"", 'Chai', 'Gelato', 'Chaayos', 'Chai Coffi', 'Love And Latte', 'Jam Jar Diner', 'Blue Tokai Coffee', 'Rolls & Bowls', 'Subway', 'The Artists Village', 'Barista', 'Rodeo Pizza', 'Chai Gaadi', 'Gupta Vada Pav Center', ""Kinoo's Cottage"", 'Legacy Of China', 'Blue Park', 'Swades', ""Pandora's Box"", 'Darjeeling Lepcha Momos', 'Suraj Lama Momos', 'Clover Leaf Learning Academy', 'Holy Cross Convent', 'Kishore Namit Kapoor Acting Institute', 'Montessori Pre-School']","A fully furnished flat; Kitchen,hall and master 
Bedroom facing sea, one gets to see sunset, 
Second room facing east where you get to see 
Sunrise, every room has a balcony so an airy full of 
Ight house. 
There is a huge compound in the building, a big 
Garden with walking/jogging track, a children 
Garden, a huge area on the upper podium for 
Children to play and for senior citizens to relax. 
Here members can organize their functions with 
The permission of the society. There are two wings 
A & b. There are four lifts in the building, two lifts in 
Each wing. This flat is in b wing. 
There is abundant of water supply in the building. 
A very well maintained building.","['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '19 Light', '3 AC', '2 TV', '18 Curtains', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Bed', 'No Chimney', 'No Modular Kitchen', 'No Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Waste Disposal']","['Lifestyle4.3 out of 5', 'Connectivity4.4 out of 5', 'Safety4.3 out of 5', 'Environment4.1 out of 5']",S68718036,,,,,,
,1 BHK Flat in Bhandup West,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-samarth-viscaria-bhandup-west-central-mumbai-suburbs-527-sq-ft-r1-spid-N68236638,Shree Samarth Viscaria,95 Lac,"₹ 18,975/sq.ft.",Carpet area: 527 (48.96 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,,"Bhandup West, Central Mumbai suburbs, Mumbai",7th   of 12 Floors,,5 to 10 Year Old,"['Vitthal Temple', ""st stephen's church"", 'Ahle e Hadis Masjid', 'Mahek Nursing Home', 'Amruta Maternity and Surgical Nursing Home', 'Sas Health Care Pvt. Limited', 'Madhu Polyclinic and Nursing Home', 'Shri Bal Chikitsalaya', 'M.S.Maternity and General Hospital', 'Maauli Hospital', ""Dr. Malwankar's Romeen Nursing Home"", ""Dr Bothra's Hospital"", 'Shanti Maternity Clinic', 'Rathod Nursing Home and Iccu', ""Dr.Bhatia's Ruby Hospital"", 'Gaurav Maternity and Surgical Hospital', 'Shaha Children Hospital', 'Saarthi Hospital Mumbai', 'Savitribai Jyotiba Phule Maternity Home Bhandup', 'Srushti Orthotech Hospital', 'Sanjeevan Nursing Home and Iccu', 'Dr Patanis Eye Clinic', 'Sulochan Eye', 'Dr. Thakurs Ear Nose Throat Clinic and Hospital - Bhandup W Mumbai', 'I and Eye Dr Kolhes Eye Clinic', 'Aashirwad Nursing Home', 'Krishna Nursing Home Mumbai', 'J. K. Child Health Care and Nicu', 'Nadkarni Eye Care Centre', 'Sunrise Hospital', ""Dr.Badwaik's Maternity and General Hospital"", 'Shrenik Hospital and Maternity House', 'Sai Sparsh Hospital and Iccu', 'Dr Hospital Bhandup', 'Devaki Hospital', 'Lotus Multispeciality Hospital', 'Diamond Maternity and General Hospital', 'Bhagwati Banquets', 'Bhandup sarvoday nagar momadhi manzil Rome no 2', 'Dena bank', 'Madras cafe', 'shiv prasad', 'Bombay Bakery', 'Hotel Sainath', 'Rahat Hotel', 'Br. Nath Pai Vidyalaya', 'NES Ratnam College', 'NES Sunbeam School', 'Mohammadi Urdu High School', 'Bhandup railway station']","This is your chance to own a 1 bhk residential apartment in shree samarth viscaria, bhandup west, central mumbai suburbs, mumbai where luxury comes with affordability.
Basic details:
You will love this bright and spacious 1 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 527sq. Ft. 
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.",[],,"['Lifestyle4.1 out of 5', 'Connectivity4.3 out of 5', 'Safety4.1 out of 5', 'Environment3.8 out of 5']",N68236638,,,,,,
,2 BHK Flat in Kandivali East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-tranquil-kandivali-east-mumbai-andheri-dahisar-700-sq-ft-spid-O69289352,Godrej Tranquil,1.9 Crore,"₹ 27,142/sq.ft.",Carpet area: 700 (65.03 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"1205, Kandivali East, Mumbai Andheri-Dahisar, Mumbai",12nd   of 23 Floors,East,0 to 1 Year Old,"['Kandivli Railway Station', 'Akurli Metro station', 'Centrium Mall', 'Akurli Road', 'Western Express Hwy', 'Lokhandwala Foundation School', 'Thakur College of Science and Commerce', 'Apex Hospitals Kandivali', 'CSM Intl Airport', 'Tanishka Commercial Building', 'Radisson Mumbai Goregaon', 'Thakur Stadium MCGM Ground', 'Marvé Beach', 'Chhota Kashmir Boat Club', 'Sanjay Gandhi National Park']","This is your chance to own a 2 bhk residential apartment in godrej tranquil, kandivali east, mumbai andheri-Dahisar, mumbai where luxury comes with affordability.
Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen and spacious hall. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 700sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.","['3 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle4.3 out of 5', 'Connectivity4.4 out of 5', 'Safety4.2 out of 5', 'Environment4.1 out of 5']",O69289352,,,,,,
,2 BHK Flat in Thane West,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-cosmos-mary-park-thane-west-mumbai-850-sq-ft-spid-V69349784,Cosmos Mary Park,1.55 Crore,"₹ 18,823/sq.ft.",Carpet area: 850 (78.97 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"1903, Thane West, Thane, Mumbai",19th   of 19 Floors,,5 to 10 Year Old,"['Nuri Baba Darga', 'Pioneer Health Care', 'Jyotimay Eye Hospital', 'Senses Eye and Ent Hospital', 'Dr.Kshirsagars Nursing Home', ""Dr Manish Patankar's Nath Hospital"", 'Lifeline Hospital Thane', 'Renuka Nursing Home Thane', 'Aishwarya Nursing Home - Thane', 'Shree Swami Samartha Netralaya', 'Sahil Hospital Thane', 'Akshaya Surgical and Maternity Home', 'Laxmi Jyot Eye Hospital Thane', 'Royal Hospital', 'Shree Ramkrishna Netralaya', 'Ajinkya Nursing Home Thane', 'Risk Care Hospital and Iccu', 'Civil Hospital Thane', 'Sunjeevan Hospital and I C U', 'Aarambh Hospital', 'Orhtocare Hospital', 'Thane Eye Care Hospital', 'Dr.Nalavade Multispeciality Hospital', 'Koshti Maternity and Surgical Hospital', 'TMC C R Wadia Dispensary', 'Janam Hospital', 'Jupiter Hospital', 'Suleman Mulla Hospital', 'Dr Malatibai Chitnis Clinic and Hospital', 'Sushrut Nursing Home', 'Chiranjeevi Hospital', 'Ashwini Maternity and Nursing Home', 'Unnati Critical Care Unit and I.C.C.U', 'Kaushalya Medical Foundation Trust Hospital Mumbai', 'More Eye Center', 'Shivneri Hospital Pvt. Ltd.', ""Dr. Uppal's Ent Hospital Thane"", 'KUCHBHI STUDIO', 'BRIGHT HOMOEOPATHIC PHARMAC', 'Vandana ST Bus Depot', 'Bank of baroda', 'Thane janata sahakari bank tjsb', 'Cinepolis', 'Cafe Coffee Day', 'Bombay Barbeque', 'Gajanan Snack Center', 'Shreerang Vidyalaya', 'Municipal Primary School', 'Indian library']","This is your chance to own a 2 bhk residential apartment in cosmos mary park, thane west, thane, mumbai where luxury comes with affordability.
Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 3 balcony. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 850sq. Ft. And is a semi furnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle4.3 out of 5', 'Connectivity4.3 out of 5', 'Safety4.2 out of 5', 'Environment4.1 out of 5']",V69349784,,,,,,
,2 BHK Flat in Ambernath,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tharwani-meghna-montana-ambernath-mumbai-beyond-thane-691-sq-ft-spid-D69880366,Tharwani Meghna Montana,39 Lac,"₹ 5,643/sq.ft.",Carpet area: 691 (64.2 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,,"Flat No A 303, Ambernath, Mumbai Beyond Thane, Mumbai",3rd   of 7 Floors,East,1 to 5 Year Old,"['DMart, Ambernath - Badlapur Rd', 'SICES College Ambernath West', 'Sunrise International School', 'Fatima High School, Badlapur', 'Bharat College of Arts & Commerce', 'Globe Business Park', 'Rainy Resort and Water Park', 'Shanti Sagar Resort and Water park', 'HP Petrol Pump - Shiv Petroleum', 'Mahanagar Gas RK CNG']","Big township flat as per full vastu east west facing lifetime membership of largest club house in ambernath, free stilt covered parking,temple,bedimentan court overall a lavish project by tharwani builders having 25
 Years experience in construction. Very less loading in this flat. Nearby d mart and in front of proposed local railway station chikloli","['1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety3.9 out of 5', 'Environment4 out of 5']",D69880366,,,,,,
,1 BHK Flat in Lower Parel,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hatdia-ison-height-lower-parel-south-mumbai-340-sq-ft-spid-L68571038,Hatdia Ison Height,1.15 Crore,"₹ 33,823/sq.ft.",Carpet area: 340 (31.59 sq.m.),1 Bedroom,1 Bathroom,No Balcony,,"Lower Parel, Lower Parel, South Mumbai, Mumbai",13rd   of 23 Floors,,0 to 1 Year Old,"['Nipponzhan Myohoji', 'Sbi ATM', 'Reliance Life Sciences Pvt. Ltd', 'Nirmal Clinic', 'Radhakrishna Clinic. Dr Bina Pansare', 'ESIS Hospital WORLI', 'Ipc Heart Care', 'Bosco Nursing Home and Ent Research Centre', 'Poddar Hospital', 'Peoples Mobile Hospitals', 'Mhaskar Hospital', 'Dr Nerurkars Harish Nursing Home', 'Harish Nursing Home', 'Worliway Service Station', 'St Jude India ChildCare Centres', 'Rbs office bank', 'Kotak mahindra bank', 'Cafe Coffee Day', 'Bombay Canteen', 'Blue Frog', 'Barking Deer', 'Delhi Highway', 'TOIT Brewery Taproom and Kitchen', 'The Bar Stock Exchange', 'Social', 'Starbucks', 'California Pizza Kitchen', 'Riso', 'Firki', ""Domino's Pizza"", 'Burger King', 'SpiceKlub', ""McDonald's"", 'ASILO', 'Shiro', 'Hard Rock', 'Tasting Room', 'Aer Rooftop Bar', 'White owl', 'Cafe Coffee Day', 'The True School Of Music', 'KASTURBA GANDHI MUNICIPAL SCHOOL', 'Kamaladevi Gobindram Tahiliani High School', 'The Learning Curve Worli', 'Sunrise Play School', ""Sasmira's Institute of Management Studies and Research"", 'Lower parel railway station', 'Currey road railway station', 'Lower parel railway station']","Dream home lower parel east, monorail station next to building gate, lower parel, chinchpokli & curry riad station just 3-5 mins proximity. Excellent connectivity. Beautiful terrace view of arabian sea. Ready possession.",,"['Lift(s)', 'Park', 'Rain Water Harvesting']","['Lifestyle4.3 out of 5', 'Connectivity4.4 out of 5', 'Safety4.4 out of 5', 'Environment3.9 out of 5']",L68571038,,,,,,
